timestamp,open,high,low,close,volume
1773532800000,71213.5,71219.1,71027,71083.9,65.75936714
1773533700000,71082.1,71217,71005.3,71065.8,87.15825037
1773534600000,71062.2,71118.9,70970.1,71075.9,16.08086341
1773535500000,71074,71075.5,70964,70985.3,7.11201871
1773536400000,70985.2,71045.9,70891.5,70948.3,15.16488827
1773537300000,70948.3,71000,70901.6,70932,6.62423575
1773538200000,70932,70953.1,70857,70930.7,10.7558089
1773539100000,70930.7,71038.9,70892.7,71000.1,8.5792955
1773540000000,71000.1,71385.4,71000.1,71303.5,41.96878934
1773540900000,71303.6,71340,71193.9,71269.9,16.4081878
1773541800000,71269.9,71412.6,71160.6,71412.6,13.31047178
1773542700000,71412.5,71630,71365.5,71450.1,119.9396189
1773543600000,71450.1,71529,71413.2,71450.1,62.23633218
1773544500000,71454.5,71463.9,71317.7,71331.5,44.80245627
1773545400000,71331.6,71434.7,71230,71325.8,42.72690924
1773546300000,71327.9,71360.2,71258.3,71350.9,13.78791561
1773547200000,71351,71627.9,71321.7,71591.6,43.51398875
1773548100000,71591.7,71660,71502.1,71537.9,29.48854586
1773549000000,71537.2,71590.1,71454.1,71590.1,25.88711216
1773549900000,71590,71590,71472.5,71582.5,24.57142795
1773550800000,71584,71588.4,71466,71539.8,15.40758997
1773551700000,71539.8,71790.7,71517,71632.6,59.86432567
1773552600000,71632.5,71701,71578.2,71647,43.42781242
1773553500000,71646.9,71658.6,71482.3,71492.3,19.82446052
1773554400000,71490.1,71600.1,71483,71559,10.85530496
1773555300000,71559,71584,71455.5,71468,21.45473555
1773556200000,71468,71471,71366.5,71422,44.57278709
1773557100000,71422,71486,71405.3,71453.6,19.00883505
1773558000000,71453.7,71655.4,71419.5,71607,44.51467625
1773558900000,71607.8,71657.1,71565.8,71572.9,27.72114704
1773559800000,71572.8,71572.9,71450.5,71450.5,15.0991704
1773560700000,71450.6,71461.8,71403.6,71456.7,63.6752909
1773561600000,71457,71630.4,71457,71600.7,53.69338352
1773562500000,71600.7,71692.3,71552.4,71587.4,21.95892512
1773563400000,71587.4,71587.5,71500,71574,10.37127957
1773564300000,71574.1,71718,71574.1,71717.9,29.13806868
1773565200000,71717.9,71916.5,71708.2,71817.9,119.83470248
1773566100000,71815.5,71933.3,71780.1,71843.2,29.10229978
1773567000000,71843.2,71869.9,71734.5,71755,16.70514369
1773567900000,71755,71834,71704.7,71780.3,12.95267754
1773568800000,71780.3,71836,71717,71803.4,8.90901219
1773569700000,71803.4,71914.8,71781.6,71861,18.69288564
1773570600000,71860.9,71861.9,71784,71825,11.93141248
1773571500000,71825.1,71825.1,71779.2,71780.1,18.12380096
1773572400000,71780.1,71780.1,71679,71707.8,16.21483339
1773573300000,71707.9,71816.1,71668.7,71697.1,35.92203095
1773574200000,71697.2,71758.8,71666.6,71756.7,23.82580315
1773575100000,71756.7,71890,71738.4,71844,11.68708972
1773576000000,71844,71844.1,71700.5,71702.7,8.3345917
1773576900000,71702.8,71755.2,71667.8,71710.1,10.97575692
1773577800000,71710,71734,71566.7,71574.1,17.72927259
1773578700000,71574.1,71665.6,71568.8,71612.9,16.0300738
1773579600000,71613,71684.5,71263.3,71444,89.48728388
1773580500000,71443.9,71552.4,71259.2,71521.8,94.4933651
1773581400000,71521.8,71580,71283.1,71448,59.2176155
1773582300000,71448,71611.1,71387.3,71604.9,22.57111194
1773583200000,71605,71620,71521.8,71579,20.50599861
1773584100000,71579,71579,71393.9,71454.9,26.91430349
1773585000000,71454.9,71488.5,71331.5,71488.4,39.53661374
1773585900000,71488.5,71689.5,71433.5,71624.3,47.2073981
1773586800000,71624.3,71631.4,71501.9,71539.9,15.08285043
1773587700000,71540,71608,71454,71470,45.91841598
1773588600000,71470.9,71544,71412,71491.6,21.66931959
1773589500000,71491.6,71515.1,71466,71478.1,7.52515414
1773590400000,71478.1,71589.9,71453.2,71559.3,13.02221742
1773591300000,71560,71566.1,71300,71399.9,48.70889443
1773592200000,71400,71500.6,71325.7,71448.3,40.97480942
1773593100000,71448.3,71468,71334.1,71433,12.50006288
1773594000000,71432.9,71516.1,71408.9,71482.7,18.95701756
1773594900000,71482.7,71553.6,71434.5,71517.1,18.80888418
1773595800000,71517.1,71549.1,71481.5,71523.7,5.92273196
1773596700000,71525.5,71999,71522.1,71819,91.13351698
1773597600000,71818.1,71888.8,71706.6,71721.6,16.02186882
1773598500000,71721.6,71776.7,71692.3,71728.9,15.07582512
1773599400000,71729,71833.6,71685.1,71692,24.49195958
1773600300000,71692,71710,71320,71387.3,83.9502665
1773601200000,71387.3,71530,71339.3,71488.1,75.84115349
1773602100000,71488.1,71564.8,71417.5,71519.9,28.23410351
1773603000000,71519.8,71578,71454.3,71492,15.4822124
1773603900000,71492,71560.3,71460,71557.1,4.87612441
1773604800000,71557.1,71557.3,71502.3,71535.3,6.49252114
1773605700000,71535.3,71578,71436.7,71486,6.09526725
1773606600000,71486.1,71930,71486.1,71849,52.21728727
1773607500000,71849.1,71884.8,71719.1,71729.1,23.75427026
1773608400000,71729.1,71750.1,71588.7,71637.6,28.51870735
1773609300000,71637.6,71820.3,71637.5,71762,35.81628002
1773610200000,71762,72212.8,71762,72108.8,84.58706142
1773611100000,72108.8,72222,72015.1,72113.6,18.88977188
1773612000000,72113.5,72308.6,71769.4,71796,102.85786266
1773612900000,71796.5,71966.6,71722,71933,36.25491535
1773613800000,71934.6,72516.2,71934.6,72388,127.39158291
1773614700000,72387.9,73073.6,72387.9,72747.1,242.00649674
1773615600000,72748,73195.9,72729.7,72992.4,188.36212227
1773616500000,72994.5,73147.2,72441,72476.1,154.33607683
1773617400000,72476.1,72747.7,72416.8,72700,80.79754985
1773618300000,72699.9,72820,72545.3,72806.8,52.91144811
1773619200000,72806.9,73008.8,72710.4,72710.5,78.31095901
1773620100000,72710.5,72865.9,72500,72500.9,32.49257169
1773621000000,72500.9,72679,72445.2,72517.9,59.42741133
1773621900000,72517.7,72662.5,72507.4,72530,24.00728894
1773622800000,72530,72620.3,72268.3,72314,34.50583068
1773623700000,72314,72691.6,72314,72647.1,43.36054761
1773624600000,72647,72664.9,72480.1,72593,45.53762357
1773625500000,72593.1,72857.1,72593.1,72759.7,45.73968914
1773626400000,72759.7,72855.7,72666.7,72695.8,25.52329933
1773627300000,72698,72738.5,72379.7,72452.1,55.95734323
1773628200000,72452,72480,72345,72436.2,26.75943308
1773629100000,72442,72600,72419.9,72518.6,25.43592056
1773630000000,72518.6,72587.6,72439,72521.7,21.07557043
1773630900000,72521.7,72877,72486.4,72850.6,49.62631359
1773631800000,72850.5,74325.2,72850.5,73774,732.19261546
1773632700000,73774.3,73868,73546.9,73577.1,309.46594346
1773633600000,73577.1,73800,73577.1,73687.9,116.30416648
1773634500000,73690,74068.6,73588,73611,172.74619662
1773635400000,73610.9,73847.4,73610.9,73645,125.33136673
1773636300000,73645,74464.6,73604.6,73839,291.05337729
1773637200000,73837,74087,73733.3,73869,102.71581216
1773638100000,73869.9,73976.9,73784.5,73912,57.52213939
1773639000000,73912,74091,73720,74048,84.81542701
1773639900000,74047.9,74250,74000.1,74203.9,135.06079265
1773640800000,74204,74206,73592.2,73708.1,131.05200649
1773641700000,73708.1,73828.8,73689,73717.3,59.90028587
1773642600000,73717.3,73864.6,73700.1,73827,43.68945262
1773643500000,73826.9,73834.9,73712.9,73720.4,27.91169537
1773644400000,73720.5,73939.6,73660.4,73846,126.12233583
1773645300000,73846,73847.5,73695.5,73828,133.20098808
1773646200000,73828.1,73871.9,73451.2,73478.7,174.58334234
1773647100000,73478.7,73524.9,73379.3,73449,118.63888005
1773648000000,73449,73772.1,73449,73511.1,64.38860566
1773648900000,73511.1,73561,73360,73360,61.52984121
1773649800000,73360,73370.1,72902.4,72912,182.20371533
1773650700000,72911.9,73202.5,72860.2,73138.5,113.84954292
1773651600000,73142.8,73218.4,73059,73136.8,59.05207976
1773652500000,73136.8,73329.9,73136.7,73275.5,35.91502054
1773653400000,73275.5,73275.6,73183.5,73197.7,63.69835624
1773654300000,73197.7,73333,73168.9,73263.5,27.6526003
1773655200000,73263.5,73486.2,73263.5,73342,104.08995488
1773656100000,73342.1,73495,73302.4,73438,22.94861694
1773657000000,73438.1,73438.1,73204.8,73249.9,43.04591937
1773657900000,73263.5,73784,73224.8,73783.4,98.23780083
1773658800000,73783.5,73834.6,73610,73612.6,56.65299092
1773659700000,73612.6,73751.2,73543.2,73560.1,30.16953355
1773660600000,73560,73663.6,73515.3,73616.4,20.63015107
1773661500000,73616.5,73673.5,73528,73552.6,21.68046966
1773662400000,73552.6,73819,73446.4,73590.1,69.54377671
1773663300000,73590.2,73886.5,73494,73872.4,102.10431359
1773664200000,73871.3,74041,73752,73805.7,90.86003788
1773665100000,73805.8,73871,73716.6,73863.3,46.75901846
1773666000000,73863.4,74008,73837,73961,38.76927629
1773666900000,73961.1,73990,73778.1,73897,40.41151372
1773667800000,73897.1,74500,73829.2,74075.4,402.3183025
1773668700000,74075.1,74412.5,73866.4,74111.2,186.13152287
1773669600000,74111.3,74450.1,73960.3,74294.1,104.39797247
1773670500000,74294,74370,73610,73616.1,164.44042425
